pid,x,y
689,607947.185,227840.897
690,607929.722,227818.283
691,607921.686,227804.197
692,607920.131,227800.483
693,607919.751,227799.577
694,607914.525,227787.924
695,607910.553,227779.066
696,607908.377,227773.34
697,607899.913,227753.607
698,607892.776,227736.698
699,607884.231,227725.394
700,607873.256,227710.875
701,607870.68,227708.48
702,607851.487,227690.636
703,607833.834,227674.298
704,607828.813,227669.53
705,607797.42,227640.421
706,607797.4027433078,227640.37359951355
707,607797.2822786332,227640.01622739073
708,607797.1770790165,227639.65406774002
709,607797.0873337684,227639.28777228217
710,607797.013204389,227638.9180001806
711,607796.9548242773,227638.54541685496
712,607796.9122984906,227638.17069278387
713,607796.8857035558,227637.79450229832
714,607796.8750873314,227637.4175223681
715,607796.8804689219,227637.0404313838
716,607796.9018386427,227636.6639079356
717,607796.9391580384,227636.28862959266
718,607796.9923599509,227635.9152716833
719,607797.0613486415,227635.54450608004
720,607797.146,227635.177
721,607797.2460317484,227634.81330143876
722,607797.36139713,227634.45417214325
723,607797.4918869222,227634.10025769554
724,607797.6372663965,227633.75219472623
725,607797.7972740406,227633.41060934012
726,607797.9716220285,227633.07611599
727,607798.1599967385,227632.74931637125
728,607798.3620593172,227632.43079833963
729,607798.577446289,227632.1211348537
730,607798.8057702105,227631.82088294427
731,607799.0466203662,227631.53058271238
732,607799.2995635088,227631.2507563577
733,607799.5641446376,227630.9819072392
734,607799.8398878168,227630.72451896977
735,607800.002,227630.583
736,607801.5865961029,227629.23326969778
737,607803.1815202334,227627.8957594304
738,607804.7866781701,227626.5705482411
739,607806.4019750721,227625.25771442993
740,607808.0273155001,227623.9573355655
741,607809.6626034207,227622.66948848055
742,607810.863,227621.737
743,607812.5218127063,227620.46610171342
744,607814.1903074684,227619.20794143813
745,607815.8683864548,227617.96259290638
746,607817.5559512909,227616.73012912445
747,607819.2529030463,227615.51062234325
748,607820.9591422405,227614.3041440542
749,607822.161,227613.466
750,607823.6840568518,227612.40245616468
751,607825.2162174856,227611.352069828
752,607826.7573682211,227610.31491888696
753,607828.3073947289,227609.29108028198
754,607829.8661820213,227608.28062996594
755,607831.4336144604,227607.2836428985
756,607833.0095757673,227606.30019304052
757,607833.689,227605.882
758,607835.2734992822,227604.91982489233
759,607836.866244069,227603.97136142047
760,607838.4671157129,227603.03668024903
761,607840.0759949567,227602.11585100755
762,607841.6927619459,227601.2089422936
763,607843.3172962388,227600.3160216678
764,607844.9494768151,227599.43715564863
765,607845.85,227598.96
766,607841.684,227591.22
767,607841.1991073681,227591.15479550848
768,607840.7139709165,227591.07345921895
769,607840.2317361159,227590.97638931673
770,607839.7529130887,227590.8636884852
771,607839.2780083481,227590.73547594264
772,607838.8075242621,227590.59188731606
773,607838.3419585229,227590.4330744977
774,607837.8818036196,227590.25920548456
775,607837.4275463176,227590.0704642003
776,607836.9796671437,227589.86705030108
777,607836.5386398778,227589.64917896411
778,607836.1049310514,227589.41708066015
779,607835.679,227589.171
780,607835.6585385349,227589.15871761597
781,607835.2411364861,227588.89840681892
782,607834.8324202689,227588.62466015646
783,607834.4328222119,227588.33776719007
784,607834.0427649985,227588.03803138706
785,607833.6626612202,227587.72576979946
786,607833.2929129401,227587.40131272876
787,607832.9339112674,227587.06500337654
788,607832.5860359442,227586.71719748128
789,607832.2496549428,227586.35826294226
790,607831.9251240778,227585.9885794303
791,607831.6127866288,227585.60853798618
792,607831.3129729773,227585.21854060702
793,607831.026,227584.819
794,607819.516,227568.569
795,607819.3016207019,227568.26959024253
796,607819.2930136351,227568.2574899436
797,607818.716739946,227567.47158169144
798,607818.7089889928,227567.4606860286
799,607818.1190313088,227566.68313541476
